company,source,title,desc,date,link,investing_in_solarparks
HIH Invest,Logistik Heute,LogPark Leipzig: HIH Invest und Partners Group planen zwei flexibel nutzbare Business-Parks,HIH Invest Real Estate (HIH Invest) und die Partners Group wollen auf dem Gelände des LogPark Leipzig zwei Business-Parks mit insgesamt...,3 Apr 2024,https://logistik-heute.de/news/logpark-leipzig-hih-invest-und-partners-group-planen-zwei-flexibel-nutzbare-business-parks-100320.html,False
HIH Invest,immobilienmanager,Leipzig: LBBW finanziert Logpark für HIH Invest,Die LBBW stellt der HIH Invest einen Kredit in Höhe von 60 Millionen Euro für den Ankauf eines Logistikparks in Leipzig zur Verfügung.,3 Apr 2024,https://www.immobilienmanager.de/leipzig-lbbw-finanziert-logpark-fuer-hih-invest-03042024,False
HIH Invest,Infrastructure Investor,"The Pipeline: Offshore PPA gone with wind, India’s NIIF troubles, US seeks energy chief",Price rises take US offshore casualty; tensions brew at India's NIIF; and New York pensions gain additional firepower. Welcome to the The...,9 Jan 2023,https://www.infrastructureinvestor.com/the-pipeline-offshore-ppa-gone-with-wind-indias-niif-troubles-us-seeks-energy-chief/,False
HIH Invest,IPE Real Assets,People moves: CBRE Investment Management names Patterson portfolio director,"Stack Infrastructure, BentallGreenOak, Tritax Group, MORhomes, Europa Capital, Howard de Walden Estate, KanAm, DJE Kapital, CBRE Investment...",6 Apr 2022,https://realassets.ipe.com/news/people-moves-cbre-investment-management-names-patterson-portfolio-director/10059016.article,False
HIH Invest,IPE Real Assets,Top 100 infrastructure investment managers 2023,"A €2trn industry in the making. The total assets under management (AUM) of the 100 largest infrastructure investment managers continued to climb in 2022,...",3 Jul 2023,https://realassets.ipe.com/top-100-infra-managers/top-100-infrastructure-investment-managers-2023/10067591.article,False
Merkle,Sonnenseite,Solar glass is the next production bottleneck,"The EU is becoming dangerously dependent on China by ignoring this component. By Erich Merkle When talking about the entire PV value chain,...",8 Jun 2022,https://www.sonnenseite.com/en/economy/solar-glass-is-the-next-production-bottleneck/,False
Merkle,www.photovoltaik.eu,Dr. Erich Merkle von GridParity: Leistungsfähige Solarmodule für viele Anwendungen – made in Europe,"CEO-Talk: Hohe Qualität, maßgeschneiderte Produkte - Europäische Hersteller von Solarmodulen können sich gegen die Konkurrenz aus Asien gut...",7 Jan 2023,https://www.photovoltaik.eu/montage/dr-erich-merkle-von-gridparity-leistungsfaehige-solarmodule-fuer-viele-anwendungen-made,False
Merkle,pv Europe,"Interview/CEO Talk - Erich Merkle of Gridparity: ""Made in Europe is becoming increasingly important""",Glass-glass modules are gaining importance in the European market and expanding their market shares. Erich Merkle of Gridparity explains...,3 Oct 2022,https://www.pveurope.eu/solar-modules/interview-ceo-talk-erich-merkle-gridparity-made-europe-becoming-increasingly,False
Merkle,Solarserver,GridParity AG – 10 Jahre Innovation in der Photovoltaik!,Grid Parity feiert: 10 Jahre Innovationen in der Photovoltaik. Carports/Terassen mit Doppelglasmodulen als Bausatz: Jubiläumsangebote auf...,20 Oct 2023,https://www.solarserver.de/2023/10/20/gridparity-ag-10-jahre-innovation-in-der-photovoltaik/,False
Merkle,pv magazine International,Tracker sensors for agrivoltaics,Sensors from German electronics manufacturer SICK are used in solar PV tracking systems since 2021. Now they are making their way into...,29 Mar 2024,https://www.pv-magazine.com/2024/03/29/tracker-sensors-for-agrivoltaics/,False
Merkle,Augsburger Allgemeine,Merkle-Holz aus Nersingen investiert Millionensumme,Im Juni soll es losgehen: Dann geht die neue Fotovoltaikanlage bei Merkle-Holz in Nersingen ans Netz. Das Unternehmen setzt schon länger auf...,5 May 2024,https://www.augsburger-allgemeine.de/neu-ulm/nersingen-merkle-holz-aus-nersingen-investiert-millionensumme-id70638481.html,False
Merkle,Erneuerbareenergien,Agriphotovoltaik: Gridparity nimmt Lösungen für den Weinbau ins Sortiment auf,Gridparity hat ein Solarsystem speziell für den Weinbau entwickelt. Damit erweitert das Unternehmen sein Sortiment für die Energiewende in...,23 May 2023,https://www.erneuerbareenergien.de/technologie/solar/agriphotovoltaik-gridparity-nimmt-loesungen-fuer-den-weinbau-ins-sortiment-auf,False
Merkle,pv Europe,Urban photovoltaics - Being out in the schoolyard even in the blazing sun,Solar canopies for schoolyards enhance paved areas and allow them to be used on rainy days. This creates a bright and attractive space for...,8 Mar 2023,https://www.pveurope.eu/bipv/urban-photovoltaics-being-out-schoolyard-even-blazing-sun,False
Merkle,pv magazine International,The next bottleneck,"Europe needs to build a solar industry across the entire value chain, including glass, argues Erich Merkle, the CEO of GridParity and a...",6 May 2022,https://www.pv-magazine.com/magazine-archive/the-next-bottleneck/,False
Merkle,www.photovoltaik.eu,Dr. Erich Merkle von Gridparity: „Made in Europe wird immer wichtiger“,"Glas-Glas-Module gewinnen im europäischen Markt an Bedeutung, bauen ihre Marktanteile aus. Die Hersteller errichten neue Werke,...",19 Sept 2022,https://www.photovoltaik.eu/solarmodule/dr-erich-merkle-von-gridparity-made-europe-wird-immer-wichtiger,False
Merkle,Solarserver,Gridparity schlägt Beteiligungsmodell für Agri-PV vor,"Wie ein ein Beteiligungsmodell für Agri-PV-Anlagen aussehen kann, stellt Erich Merkle, Vorstand von Gridparity in einem Gastbeitrag vor.",6 May 2023,https://www.solarserver.de/2023/05/06/agri-pv-akzeptanz-durch-buerger-beteiligungsmodell-herstellen/,False
Merkle,www.photovoltaik.eu,Stadler baut großes Solardach in Berlin,Der Schweizer Hersteller von Schienenfahrzeugen will auf seiner Niederlassung in Berlin rund 7.200 Module von Longi installieren.,19 Jul 2023,https://www.photovoltaik.eu/installation/stadler-baut-grosses-solardach-berlin,False
Merkle,pv Europe,Heads up! - Investor newsletter on Monday - useful information and the latest news for investors,Our newsletter for investors and project developers is entering its third round: It will be published on 11 December 2023.,7 Dec 2023,https://www.pveurope.eu/financing/heads-investor-newsletter-monday-useful-information-and-latest-news-investors,False
Merkle,www.photovoltaik.eu,Urban-PV: Auf den Schulhof trotz praller Sonne,Solare Überdachungen für Schulhöfe werten versiegelte Flächen auf und erlauben die Nutzung an regnerischen Tagen.,8 Mar 2023,https://www.photovoltaik.eu/installation/urban-pv-auf-den-schulhof-trotz-praller-sonne,False
Merkle,pv Europe,Agriphotovoltaics - Gridparity adds solutions for viticulture to its product range,Gridparity has developed a solar system specifically for viticulture. The company is thus expanding its product range for the energy...,23 May 2023,https://www.pveurope.eu/agriculture/agriphotovoltaics-gridparity-adds-solutions-viticulture-its-product-range,False
Merkle,www.photovoltaik.eu,Solarglas: Produktion ohne Erdgas - mit grünem Strom,Die hohen Preise für Erdgas und der Lieferstopp aus Russland stellen die Glashersteller vor enorme Probleme. Denn sie sind sehr abhängig von...,18 Jul 2022,https://www.photovoltaik.eu/bipv/solarglas-produktion-ohne-erdgas-mit-gruenem-strom,False
Merkle,www.photovoltaik.eu,PV Guided Tours 2023,pv Guided Tours 2023: Wichtige Innovationen für Ihr Solargeschäft – im Video! Innovative Trends und Produkte treiben die solare Energiewende voran – in...,1 month ago,https://www.photovoltaik.eu/videos/pv-guided-tours-2023,False
Merkle,www.photovoltaik.eu,Solarglas: Gewaltiger Engpass droht in Europa,"Die EU begibt sich in gefährliche Abhängigkeit von China, weil sie diese Komponente ausblendet. Wenn von der Wertschöpfungskette in der...",30 Jun 2022,https://www.photovoltaik.eu/solarmodule/solarglas-gewaltiger-engpass-droht-europa,False
Merkle,www.photovoltaik.eu,Neues Spezial zur Architektur: Gebäudehüllen solar aktivieren,"Dächer und Fassaden machen das Gebäude zum Sonnenkraftwerk. Wer diese Potenziale nutzen will, muss nicht nur an Solarmodule und...",13 Jun 2022,https://www.photovoltaik.eu/bipv/neues-spezial-zur-architektur-gebaeudehuellen-solar-aktivieren,False
Merkle,www.photovoltaik.eu,PV Guided Tours 2022,"Der weltweite Aufbruch zur solaren Energiewende treibt die Innovationsspirale. Mit uns behalten Sie die Übersicht, bei uns sitzen Sie in der ersten.",25 Apr 2022,https://www.photovoltaik.eu/videos/pv-guided-tours-2022,False
Merkle,Latham & Watkins LLP,Watkins Advising Clearway Energy Group in Financing and Sale of California Solar and Storage Projects,"Clearway Energy Group, LLC (Clearway) announced that it closed approximately US$1 billion of debt financing and arranged committed a tax...",26 May 2023,https://www.lw.com/en/news/2023/05/latham-watkins-advising-clearway-in-financing-and-sale-of-california-solar-and-storage-projects,False
